1,2
1.101,Expire Start
2.918,Recovery
3.955,Inspire Start
6.208,Expire Start
6.246,Expire Start
7.962,Recovery
8.998,Inspire Start
10.906,Expire Start
10.906,Recovery
10.918,Inspire Start
13.158,Inspire Start
14.925,Expire Start
14.925,Recovery
14.938,Inspire Start
17.498,Inspire Start
17.51,Expire Start
19.507,Expire Start
20.736,Recovery
21.453,Inspire Start
23.424,Expire Start
23.424,Recovery
23.437,Inspire Start
25.779,Inspire Start
28.173,Expire Start
29.491,Recovery
30.31,Inspire Start
30.323,Expire Start
32.602,Expire Start
34.125,Recovery
34.995,Inspire Start
37.082,Expire Start
38.656,Recovery
39.565,Inspire Start
41.984,Expire Start
43.571,Recovery
44.454,Inspire Start
46.387,Expire Start
48.0,Recovery
48.922,Inspire Start
51.251,Expire Start
52.416,Recovery
53.12,Inspire Start
55.834,Expire Start
55.846,Inspire Start
55.859,Expire Start
57.19,Recovery
57.958,Inspire Start
60.493,Expire Start
61.747,Recovery
62.566,Inspire Start
64.384,Expire Start
65.574,Recovery
66.33,Inspire Start
68.186,Expire Start
69.581,Recovery
70.477,Inspire Start
72.563,Expire Start
73.818,Recovery
74.573,Inspire Start
76.851,Expire Start
78.246,Recovery
79.066,Inspire Start
81.05,Expire Start
81.075,Expire Start
82.33,Recovery
83.2,Inspire Start
85.338,Expire Start
86.566,Recovery
87.283,Inspire Start
89.114,Expire Start
90.394,Recovery
91.174,Inspire Start
91.2,Inspire Start
93.107,Expire Start
94.131,Recovery
94.784,Inspire Start
96.691,Expire Start
98.048,Recovery
98.88,Inspire Start
101.005,Expire Start
102.336,Recovery
103.053,Inspire Start
106.765,Expire Start
108.544,Recovery
109.555,Inspire Start
112.87,Expire Start
114.598,Recovery
115.712,Inspire Start
115.738,Inspire Start
118.733,Expire Start
118.758,Recovery
118.784,Inspire Start
118.797,Expire Start
118.797,Recovery
118.822,Inspire Start
118.874,Expire Start
120.717,Recovery
121.715,Inspire Start
121.728,Expire Start
121.728,Recovery
121.741,Inspire Start
121.869,Expire Start
121.869,Recovery
121.882,Inspire Start
122.048,Expire Start
122.061,Inspire Start
123.597,Expire Start
125.222,Recovery
126.016,Inspire Start
126.029,Expire Start
126.08,Recovery
126.118,Inspire Start
126.131,Expire Start
126.144,Recovery
126.157,Inspire Start
126.182,Expire Start
126.234,Recovery
126.272,Inspire Start
128.461,Expire Start
129.805,Recovery
130.598,Inspire Start
132.979,Expire Start
134.157,Recovery
134.848,Inspire Start
136.934,Expire Start
136.947,Inspire Start
136.96,Expire Start
138.47,Recovery
139.341,Inspire Start
139.379,Expire Start
141.478,Expire Start
142.63,Recovery
143.398,Inspire Start
145.485,Expire Start
146.739,Recovery
147.366,Inspire Start
149.325,Expire Start
150.566,Recovery
151.296,Inspire Start
153.318,Expire Start
154.65,Recovery
155.379,Inspire Start
157.53,Expire Start
158.925,Recovery
159.782,Inspire Start
162.176,Expire Start
163.354,Recovery
164.058,Inspire Start
166.31,Expire Start
167.552,Recovery
168.346,Inspire Start
170.79,Expire Start
172.25,Recovery
173.082,Inspire Start
173.094,Expire Start
173.107,Inspire Start
175.104,Expire Start
175.142,Expire Start
176.576,Recovery
177.472,Inspire Start
179.507,Expire Start
180.928,Recovery
181.926,Inspire Start
183.987,Expire Start
185.408,Recovery
186.317,Inspire Start
188.838,Expire Start
188.838,Recovery
188.851,Inspire Start
188.902,Inspire Start
190.938,Inspire Start
193.587,Expire Start
195.098,Recovery
196.045,Inspire Start
198.093,Expire Start
199.386,Recovery
200.166,Inspire Start
202.47,Expire Start
203.61,Recovery
204.262,Inspire Start
206.554,Expire Start
207.654,Recovery
208.307,Inspire Start
210.342,Expire Start
210.342,Recovery
210.368,Inspire Start
212.314,Inspire Start
214.323,Expire Start
214.349,Expire Start
215.603,Recovery
216.422,Inspire Start
218.304,Expire Start
219.686,Recovery
220.582,Inspire Start
222.515,Expire Start
223.795,Recovery
224.627,Inspire Start
228.275,Expire Start
228.275,Recovery
228.288,Inspire Start
230.643,Inspire Start
230.669,Inspire Start
233.254,Expire Start
234.586,Recovery
235.443,Inspire Start
237.414,Expire Start
238.938,Recovery
239.949,Inspire Start
241.958,Expire Start
243.418,Recovery
244.275,Inspire Start
247.155,Expire Start
248.192,Recovery
248.819,Inspire Start
251.11,Expire Start
252.544,Recovery
253.376,Inspire Start
255.283,Expire Start
255.296,Inspire Start
255.309,Expire Start
256.691,Recovery
257.536,Inspire Start
261.018,Expire Start
261.043,Expire Start
262.553,Recovery
263.565,Inspire Start
266.33,Expire Start
267.648,Recovery
268.454,Inspire Start
268.467,Expire Start
268.493,Inspire Start
269.414,Expire Start
